 N,T,W,RMAX
       691, 0.5000E-06, 0.6006E+00, 0.1000E-01,
 it,x0( 1),z0(  1),rr(  1),x0(100),z0(100),rr(100)     ,x0(200),z0(200),rr(200),x0(300),z0(300),rr(300)                  ,x0(400),z0(400),rr(400),x0(500),z0(500),rr(500)                  ,x0(600),z0(600),rr(600),x0(  n),z0(  n),rr(  n)
    330000, 0.4859E-02, 0.4828E-02, 0.5000E-02, 0.1482E+00, 0.2889E-01, 0.1000E-01, 0.5107E+00, 0.8513E-01, 0.5000E-02, 0.1401E+00, 0.1368E+00, 0.5000E-02, 0.2202E+00, 0.2169E+00, 0.1000E-01, 0.3604E+00, 0.2969E+00, 0.1000E-01, 0.5205E+00, 0.3770E+00, 0.5000E-02, 0.5806E+00, 0.4571E+00, 0.1000E-01
    340000, 0.4868E-02, 0.4815E-02, 0.5000E-02, 0.1483E+00, 0.2884E-01, 0.1000E-01, 0.5115E+00, 0.8519E-01, 0.5000E-02, 0.1398E+00, 0.1299E+00, 0.5000E-02, 0.2202E+00, 0.2086E+00, 0.1000E-01, 0.3604E+00, 0.2887E+00, 0.1000E-01, 0.5205E+00, 0.3688E+00, 0.5000E-02, 0.5806E+00, 0.4489E+00, 0.1000E-01
    350000, 0.4869E-02, 0.4741E-02, 0.5000E-02, 0.1485E+00, 0.2904E-01, 0.1000E-01, 0.5120E+00, 0.8508E-01, 0.5000E-02, 0.1377E+00, 0.1302E+00, 0.5000E-02, 0.2202E+00, 0.2002E+00, 0.1000E-01, 0.3604E+00, 0.2803E+00, 0.1000E-01, 0.5205E+00, 0.3603E+00, 0.5000E-02, 0.5806E+00, 0.4404E+00, 0.1000E-01
    360000, 0.4895E-02, 0.4786E-02, 0.5000E-02, 0.1484E+00, 0.2906E-01, 0.1000E-01, 0.5127E+00, 0.8510E-01, 0.5000E-02, 0.1349E+00, 0.1293E+00, 0.5000E-02, 0.2202E+00, 0.1915E+00, 0.1000E-01, 0.3604E+00, 0.2716E+00, 0.1000E-01, 0.5205E+00, 0.3516E+00, 0.5000E-02, 0.5806E+00, 0.4317E+00, 0.1000E-01
    370000, 0.4886E-02, 0.4848E-02, 0.5000E-02, 0.1484E+00, 0.2909E-01, 0.1000E-01, 0.5130E+00, 0.8537E-01, 0.5000E-02, 0.1323E+00, 0.1289E+00, 0.5000E-02, 0.2202E+00, 0.1825E+00, 0.1000E-01, 0.3604E+00, 0.2626E+00, 0.1000E-01, 0.5205E+00, 0.3427E+00, 0.5000E-02, 0.5806E+00, 0.4228E+00, 0.1000E-01
    380000, 0.4914E-02, 0.4925E-02, 0.5000E-02, 0.1483E+00, 0.2926E-01, 0.1000E-01, 0.5122E+00, 0.8540E-01, 0.5000E-02, 0.1300E+00, 0.1276E+00, 0.5000E-02, 0.2202E+00, 0.1733E+00, 0.1000E-01, 0.3604E+00, 0.2534E+00, 0.1000E-01, 0.5205E+00, 0.3335E+00, 0.5000E-02, 0.5806E+00, 0.4136E+00, 0.1000E-01
    390000, 0.4900E-02, 0.4853E-02, 0.5000E-02, 0.1482E+00, 0.2932E-01, 0.1000E-01, 0.5113E+00, 0.8495E-01, 0.5000E-02, 0.1290E+00, 0.1255E+00, 0.5000E-02, 0.2209E+00, 0.1663E+00, 0.1000E-01, 0.3604E+00, 0.2440E+00, 0.1000E-01, 0.5205E+00, 0.3241E+00, 0.5000E-02, 0.5806E+00, 0.4041E+00, 0.1000E-01
    400000, 0.4864E-02, 0.4644E-02, 0.5000E-02, 0.1482E+00, 0.2929E-01, 0.1000E-01, 0.5107E+00, 0.8484E-01, 0.5000E-02, 0.1276E+00, 0.1235E+00, 0.5000E-02, 0.2232E+00, 0.1644E+00, 0.1000E-01, 0.3604E+00, 0.2343E+00, 0.1000E-01, 0.5205E+00, 0.3144E+00, 0.5000E-02, 0.5806E+00, 0.3945E+00, 0.1000E-01
    410000, 0.4878E-02, 0.4678E-02, 0.5000E-02, 0.1482E+00, 0.2937E-01, 0.1000E-01, 0.5098E+00, 0.8418E-01, 0.5000E-02, 0.1273E+00, 0.1229E+00, 0.5000E-02, 0.2251E+00, 0.1629E+00, 0.1000E-01, 0.3604E+00, 0.2244E+00, 0.1000E-01, 0.5205E+00, 0.3044E+00, 0.5000E-02, 0.5806E+00, 0.3845E+00, 0.1000E-01
    420000, 0.4866E-02, 0.4754E-02, 0.5000E-02, 0.1481E+00, 0.2938E-01, 0.1000E-01, 0.5093E+00, 0.8349E-01, 0.5000E-02, 0.1272E+00, 0.1228E+00, 0.5000E-02, 0.2258E+00, 0.1627E+00, 0.1000E-01, 0.3604E+00, 0.2142E+00, 0.1000E-01, 0.5205E+00, 0.2943E+00, 0.5000E-02, 0.5806E+00, 0.3744E+00, 0.1000E-01
    430000, 0.4839E-02, 0.4725E-02, 0.5000E-02, 0.1480E+00, 0.2936E-01, 0.1000E-01, 0.5089E+00, 0.8342E-01, 0.5000E-02, 0.1274E+00, 0.1228E+00, 0.5000E-02, 0.2263E+00, 0.1632E+00, 0.1000E-01, 0.3611E+00, 0.2038E+00, 0.1000E-01, 0.5205E+00, 0.2839E+00, 0.5000E-02, 0.5806E+00, 0.3639E+00, 0.1000E-01
    440000, 0.4844E-02, 0.4737E-02, 0.5000E-02, 0.1480E+00, 0.2943E-01, 0.1000E-01, 0.5090E+00, 0.8363E-01, 0.5000E-02, 0.1271E+00, 0.1233E+00, 0.5000E-02, 0.2256E+00, 0.1634E+00, 0.1000E-01, 0.3607E+00, 0.1966E+00, 0.1000E-01, 0.5205E+00, 0.2732E+00, 0.5000E-02, 0.5806E+00, 0.3533E+00, 0.1000E-01
    450000, 0.4855E-02, 0.4676E-02, 0.5000E-02, 0.1479E+00, 0.2943E-01, 0.1000E-01, 0.5092E+00, 0.8375E-01, 0.5000E-02, 0.1271E+00, 0.1234E+00, 0.5000E-02, 0.2247E+00, 0.1627E+00, 0.1000E-01, 0.3602E+00, 0.1957E+00, 0.1000E-01, 0.5205E+00, 0.2623E+00, 0.5000E-02, 0.5806E+00, 0.3424E+00, 0.1000E-01
    460000, 0.4869E-02, 0.4692E-02, 0.5000E-02, 0.1479E+00, 0.2941E-01, 0.1000E-01, 0.5094E+00, 0.8371E-01, 0.5000E-02, 0.1272E+00, 0.1232E+00, 0.5000E-02, 0.2244E+00, 0.1629E+00, 0.1000E-01, 0.3618E+00, 0.1960E+00, 0.1000E-01, 0.5205E+00, 0.2511E+00, 0.5000E-02, 0.5806E+00, 0.3312E+00, 0.1000E-01
    470000, 0.4870E-02, 0.4711E-02, 0.5000E-02, 0.1480E+00, 0.2932E-01, 0.1000E-01, 0.5092E+00, 0.8363E-01, 0.5000E-02, 0.1277E+00, 0.1224E+00, 0.5000E-02, 0.2240E+00, 0.1630E+00, 0.1000E-01, 0.3622E+00, 0.1950E+00, 0.1000E-01, 0.5205E+00, 0.2397E+00, 0.5000E-02, 0.5806E+00, 0.3198E+00, 0.1000E-01
    480000, 0.4885E-02, 0.4728E-02, 0.5000E-02, 0.1482E+00, 0.2933E-01, 0.1000E-01, 0.5092E+00, 0.8362E-01, 0.5000E-02, 0.1278E+00, 0.1223E+00, 0.5000E-02, 0.2239E+00, 0.1633E+00, 0.1000E-01, 0.3629E+00, 0.1938E+00, 0.1000E-01, 0.5229E+00, 0.2338E+00, 0.5000E-02, 0.5806E+00, 0.3082E+00, 0.1000E-01
    490000, 0.4900E-02, 0.4724E-02, 0.5000E-02, 0.1486E+00, 0.2939E-01, 0.1000E-01, 0.5095E+00, 0.8371E-01, 0.5000E-02, 0.1279E+00, 0.1225E+00, 0.5000E-02, 0.2240E+00, 0.1635E+00, 0.1000E-01, 0.3636E+00, 0.1930E+00, 0.1000E-01, 0.5260E+00, 0.2268E+00, 0.5000E-02, 0.5806E+00, 0.2963E+00, 0.1000E-01
    500000, 0.4894E-02, 0.4693E-02, 0.5000E-02, 0.1487E+00, 0.2934E-01, 0.1000E-01, 0.5095E+00, 0.8368E-01, 0.5000E-02, 0.1282E+00, 0.1223E+00, 0.5000E-02, 0.2239E+00, 0.1636E+00, 0.1000E-01, 0.3638E+00, 0.1923E+00, 0.1000E-01, 0.5254E+00, 0.2245E+00, 0.5000E-02, 0.5806E+00, 0.2841E+00, 0.1000E-01
    510000, 0.4866E-02, 0.4700E-02, 0.5000E-02, 0.1487E+00, 0.2931E-01, 0.1000E-01, 0.5095E+00, 0.8378E-01, 0.5000E-02, 0.1283E+00, 0.1222E+00, 0.5000E-02, 0.2240E+00, 0.1636E+00, 0.1000E-01, 0.3638E+00, 0.1921E+00, 0.1000E-01, 0.5240E+00, 0.2236E+00, 0.5000E-02, 0.5800E+00, 0.2728E+00, 0.1000E-01
    520000, 0.4863E-02, 0.4750E-02, 0.5000E-02, 0.1487E+00, 0.2936E-01, 0.1000E-01, 0.5094E+00, 0.8374E-01, 0.5000E-02, 0.1282E+00, 0.1224E+00, 0.5000E-02, 0.2242E+00, 0.1636E+00, 0.1000E-01, 0.3636E+00, 0.1922E+00, 0.1000E-01, 0.5237E+00, 0.2229E+00, 0.5000E-02, 0.5782E+00, 0.2646E+00, 0.1000E-01
    530000, 0.4872E-02, 0.4772E-02, 0.5000E-02, 0.1486E+00, 0.2939E-01, 0.1000E-01, 0.5094E+00, 0.8365E-01, 0.5000E-02, 0.1281E+00, 0.1227E+00, 0.5000E-02, 0.2240E+00, 0.1638E+00, 0.1000E-01, 0.3634E+00, 0.1922E+00, 0.1000E-01, 0.5236E+00, 0.2227E+00, 0.5000E-02, 0.5776E+00, 0.2614E+00, 0.1000E-01
    540000, 0.4873E-02, 0.4775E-02, 0.5000E-02, 0.1485E+00, 0.2941E-01, 0.1000E-01, 0.5094E+00, 0.8382E-01, 0.5000E-02, 0.1280E+00, 0.1228E+00, 0.5000E-02, 0.2238E+00, 0.1639E+00, 0.1000E-01, 0.3632E+00, 0.1925E+00, 0.1000E-01, 0.5236E+00, 0.2231E+00, 0.5000E-02, 0.5770E+00, 0.2602E+00, 0.1000E-01
    550000, 0.4873E-02, 0.4783E-02, 0.5000E-02, 0.1485E+00, 0.2942E-01, 0.1000E-01, 0.5094E+00, 0.8407E-01, 0.5000E-02, 0.1278E+00, 0.1230E+00, 0.5000E-02, 0.2236E+00, 0.1641E+00, 0.1000E-01, 0.3629E+00, 0.1928E+00, 0.1000E-01, 0.5235E+00, 0.2236E+00, 0.5000E-02, 0.5766E+00, 0.2601E+00, 0.1000E-01
    560000, 0.4878E-02, 0.4799E-02, 0.5000E-02, 0.1485E+00, 0.2944E-01, 0.1000E-01, 0.5094E+00, 0.8428E-01, 0.5000E-02, 0.1278E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1642E+00, 0.1000E-01, 0.3628E+00, 0.1931E+00, 0.1000E-01, 0.5235E+00, 0.2239E+00, 0.5000E-02, 0.5765E+00, 0.2601E+00, 0.1000E-01
    570000, 0.4881E-02, 0.4810E-02, 0.5000E-02, 0.1485E+00, 0.2947E-01, 0.1000E-01, 0.5093E+00, 0.8441E-01, 0.5000E-02, 0.1279E+00, 0.1231E+00, 0.5000E-02, 0.2234E+00, 0.1643E+00, 0.1000E-01, 0.3626E+00, 0.1932E+00, 0.1000E-01, 0.5234E+00, 0.2242E+00, 0.5000E-02, 0.5764E+00, 0.2602E+00, 0.1000E-01
    580000, 0.4883E-02, 0.4814E-02, 0.5000E-02, 0.1485E+00, 0.2948E-01, 0.1000E-01, 0.5093E+00, 0.8445E-01, 0.5000E-02, 0.1279E+00, 0.1231E+00, 0.5000E-02, 0.2234E+00, 0.1643E+00, 0.1000E-01, 0.3625E+00, 0.1933E+00, 0.1000E-01, 0.5233E+00, 0.2242E+00, 0.5000E-02, 0.5763E+00, 0.2601E+00, 0.1000E-01
    590000, 0.4883E-02, 0.4815E-02, 0.5000E-02, 0.1485E+00, 0.2947E-01, 0.1000E-01, 0.5093E+00, 0.8441E-01, 0.5000E-02, 0.1280E+00, 0.1231E+00, 0.5000E-02, 0.2234E+00, 0.1643E+00, 0.1000E-01, 0.3625E+00, 0.1932E+00, 0.1000E-01, 0.5233E+00, 0.2242E+00, 0.5000E-02, 0.5761E+00, 0.2600E+00, 0.1000E-01
    600000, 0.4882E-02, 0.4814E-02, 0.5000E-02, 0.1485E+00, 0.2946E-01, 0.1000E-01, 0.5092E+00, 0.8433E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1642E+00, 0.1000E-01, 0.3625E+00, 0.1931E+00, 0.1000E-01, 0.5233E+00, 0.2240E+00, 0.5000E-02, 0.5760E+00, 0.2598E+00, 0.1000E-01
    610000, 0.4881E-02, 0.4810E-02, 0.5000E-02, 0.1485E+00, 0.2945E-01, 0.1000E-01, 0.5092E+00, 0.8424E-01, 0.5000E-02, 0.1280E+00, 0.1230E+00, 0.5000E-02, 0.2235E+00, 0.1642E+00, 0.1000E-01, 0.3626E+00, 0.1930E+00, 0.1000E-01, 0.5233E+00, 0.2239E+00, 0.5000E-02, 0.5758E+00, 0.2596E+00, 0.1000E-01
