 No,X0(ini),Z0(ini),rr(ini),,x0(ini),z0(R=r_0),z0(R=r_1)
59,3.50E-01,5.01E-02,5.00E-03,,3.50E-01,0.05005,0
60,3.90E-01,5.01E-02,5.00E-03,,3.90E-01,0.05005,0
61,4.10E-01,5.01E-02,5.00E-03,,4.10E-01,0.05005,0
62,4.30E-01,5.01E-02,5.00E-03,,4.30E-01,0.05005,0
63,4.51E-01,5.01E-02,5.00E-03,,4.51E-01,0.05005,0
64,4.91E-01,5.01E-02,5.00E-03,,4.91E-01,0.05005,0
65,5.11E-01,5.01E-02,1.00E-02,,5.11E-01,0,0.05005
66,5.31E-01,5.01E-02,1.00E-02,,5.31E-01,0,0.05005
67,5.51E-01,5.01E-02,5.00E-03,,5.51E-01,0.05005,0
68,5.71E-01,5.01E-02,5.00E-03,,5.71E-01,0.05005,0
69,5.91E-01,5.01E-02,5.00E-03,,5.91E-01,0.05005,0
70,2.00E-02,7.01E-02,5.00E-03,,2.00E-02,0.07007,0
71,4.00E-02,7.01E-02,1.00E-02,,4.00E-02,0,0.07007
72,6.01E-02,7.01E-02,1.00E-02,,6.01E-02,0,0.07007
73,8.01E-02,7.01E-02,1.00E-02,,8.01E-02,0,0.07007
74,1.00E-01,7.01E-02,5.00E-03,,1.00E-01,0.07007,0
75,1.20E-01,7.01E-02,5.00E-03,,1.20E-01,0.07007,0
76,1.40E-01,7.01E-02,5.00E-03,,1.40E-01,0.07007,0
77,1.60E-01,7.01E-02,5.00E-03,,1.60E-01,0.07007,0
78,1.80E-01,7.01E-02,5.00E-03,,1.80E-01,0.07007,0
79,2.00E-01,7.01E-02,5.00E-03,,2.00E-01,0.07007,0
80,2.40E-01,7.01E-02,1.00E-02,,2.40E-01,0,0.07007
81,2.80E-01,7.01E-02,5.00E-03,,2.80E-01,0.07007,0
82,3.00E-01,7.01E-02,1.00E-02,,3.00E-01,0,0.07007
83,3.20E-01,7.01E-02,1.00E-02,,3.20E-01,0,0.07007
84,3.40E-01,7.01E-02,5.00E-03,,3.40E-01,0.07007,0
85,3.60E-01,7.01E-02,5.00E-03,,3.60E-01,0.07007,0
86,3.80E-01,7.01E-02,1.00E-02,,3.80E-01,0,0.07007
87,4.20E-01,7.01E-02,5.00E-03,,4.20E-01,0.07007,0
88,4.40E-01,7.01E-02,5.00E-03,,4.40E-01,0.07007,0
89,4.61E-01,7.01E-02,1.00E-02,,4.61E-01,0,0.07007
90,4.81E-01,7.01E-02,1.00E-02,,4.81E-01,0,0.07007
91,5.01E-01,7.01E-02,1.00E-02,,5.01E-01,0,0.07007
92,5.21E-01,7.01E-02,1.00E-02,,5.21E-01,0,0.07007
93,5.41E-01,7.01E-02,1.00E-02,,5.41E-01,0,0.07007
94,5.81E-01,7.01E-02,5.00E-03,,5.81E-01,0.07007,0
95,1.00E-02,9.01E-02,5.00E-03,,1.00E-02,0.09009,0
96,3.00E-02,9.01E-02,5.00E-03,,3.00E-02,0.09009,0
97,7.01E-02,9.01E-02,1.00E-02,,7.01E-02,0,0.09009
98,9.01E-02,9.01E-02,5.00E-03,,9.01E-02,0.09009,0
99,1.10E-01,9.01E-02,1.00E-02,,1.10E-01,0,0.09009
100,1.50E-01,9.01E-02,1.00E-02,,1.50E-01,0,0.09009
101,1.70E-01,9.01E-02,1.00E-02,,1.70E-01,0,0.09009
102,1.90E-01,9.01E-02,1.00E-02,,1.90E-01,0,0.09009
103,2.10E-01,9.01E-02,1.00E-02,,2.10E-01,0,0.09009
104,2.50E-01,9.01E-02,5.00E-03,,2.50E-01,0.09009,0
105,2.70E-01,9.01E-02,1.00E-02,,2.70E-01,0,0.09009
106,2.90E-01,9.01E-02,1.00E-02,,2.90E-01,0,0.09009
107,3.50E-01,9.01E-02,1.00E-02,,3.50E-01,0,0.09009
108,3.70E-01,9.01E-02,1.00E-02,,3.70E-01,0,0.09009
109,4.30E-01,9.01E-02,5.00E-03,,4.30E-01,0.09009,0
